,Modelo (3 categorías),No intervenir,Intervenir a todos,"Modelo binario (p ≥ p*, sin cupo)",Ahorro vs mejor referencia
"Base e=0.18 (t1=0.10, t2=0.21)",1797591.8327070007,1822599.9036026336,2044531.92095416,1807089.0169331662,25008.07089563296
"e=0.12 (t1=0.10, t2=0.35)",1806583.7494314,1822599.9036026336,2153887.9151703166,1819168.3549423,16016.154171233531
"e=0.18 (t1=0.10, t2=0.21)",1797591.8327070007,1822599.9036026336,2044531.92095416,1807089.0169331662,25008.07089563296
"e=0.38 (t1=0.10, t2=0.09)",1688840.837479126,1822599.9036026336,1680011.9402336332,1600344.7469580038,-8828.897245492786
"Ocupación >85% (t1=0.08, t2=0.17)",2224892.506480993,2278249.879503292,2418164.9011926996,2230297.2743615895,53357.37302229926
