dimensión,grupo,n,reingresos,evaluable,tasa_reingreso,tasa_selección_Alto,FNR,razón_FNR,razón_FNR_ic_inf,razón_FNR_ic_sup,pendiente_cal,intercepto_cal,cumple_FNR,cumple_calibración
grupo_edad,<70,27863,2967,True,0.10648530309011951,0.09769228008470014,0.7478934951129087,1.0,0.9654142799856896,1.0268011854091252,1.0523082285250926,-0.04208185157625033,True,True
grupo_edad,≥70,23636,2880,True,0.12184802843120664,0.08808597055339312,0.8361111111111111,1.1179547844374342,1.0869986767441875,1.1440205958220606,0.9246425957855303,-0.01823992414066346,True,True
race,AfricanAmerican,9186,1018,True,0.11082081428260396,0.11669932505987372,0.7740667976424361,0.9749267646646085,0.9410134021523103,1.0097061335626223,0.8466952724259638,-0.08779850350456608,True,True
race,Asian,375,31,False,0.08266666666666667,0.042666666666666665,0.8064516129032258,,,,,,False,False
race,Caucasian,38999,4514,True,0.11574655760404112,0.091027975076284,0.7939743021710235,1.0,0.978859803317922,1.0204103973557608,1.0320355654380442,-0.015169832403678491,True,True
race,Desconocido,1096,102,True,0.09306569343065693,0.043795620437956206,0.9117647058823529,1.1483554359243697,1.0797429848157858,1.2185952211736057,0.9618363222700878,-0.0570727748335888,True,True
race,Hispanic,1012,98,False,0.09683794466403162,0.06324110671936758,0.7142857142857143,,,,,,False,False
race,Other,831,84,False,0.10108303249097472,0.06498194945848375,0.7976190476190477,,,,,,False,False
