experimento,modelo,bloque,n,prevalencia,ROC_AUC,PR_AUC,lift_PR,Brier,BSS,pendiente_cal,intercepto_cal,ECE,AUC_ic_inf,AUC_ic_sup,PR_ic_inf,PR_ic_sup
E1,ElasticNet,3,7979,0.11605464343902745,0.6788759834134579,0.2321266351644229,2.0001494837763825,0.09800778307411015,0.04462774398614067,1.0856071068352715,-0.12026863919131031,0.018717003859758576,0.6600561170973608,0.6980609777041584,0.21105782932169065,0.2587633970700103
E1,ElasticNet,4,7917,0.11468990779335607,0.6544935460575233,0.20565251458703226,1.7931177951382538,0.09838818567709895,0.031003221005611592,1.043889240869939,-0.13763240580351796,0.017128411586463412,0.6354878947632135,0.6725089264198463,0.18617169430472702,0.22931663357705703
E1,ElasticNet,5,7894,0.12161135039270332,0.6535392480290356,0.21823369710603827,1.7945175051615272,0.10317926682138623,0.03410123391355813,1.1294824941858643,-0.06682629934409522,0.013406464358692069,0.6364834953860811,0.6725378198501746,0.19792009252458845,0.24147929490312817
E1,ElasticNet,6,5946,0.11823074335687857,0.6460436715865006,0.20561539781960408,1.7391026393106201,0.10145280442848179,0.026852472392668858,1.0054941859977378,-0.15603059953471377,0.02110068596693954,0.6224311550418877,0.6638812120505363,0.1833248286294312,0.23141332388266384
E1,ElasticNet,7,7960,0.11080402010050251,0.6333966383011714,0.18032151974200294,1.6273914933632012,0.09768689153884694,0.008521542762601197,0.8429310648038204,-0.27238373752641193,0.028459775910927774,0.6134643138034908,0.6512659417951694,0.16357768462740657,0.20219892320178934
E1,ElasticNet,8,5952,0.11189516129032258,0.6530964846799127,0.2329901470817052,2.082218251396861,0.09538322305935276,0.0401652911139172,1.0472722591812857,-0.26891399993230225,0.02999748706645951,0.6297093572411913,0.6746194284458576,0.20535713310198284,0.2645794179219894
E1,ElasticNet,9,7935,0.10976685570258349,0.6455075979107858,0.22162137229310147,2.0190190460915733,0.09425712748861356,0.035417858593377316,0.9648363725006903,-0.2718516803602699,0.02784469354939982,0.6244681610469672,0.6674324870831375,0.1967253526104657,0.2500059338352647
E1,ElasticNet,10,7895,0.10854971500949968,0.6532924451129276,0.20418971658513757,1.8810709596728834,0.09416248094019393,0.02691208990413907,0.9903383015948045,-0.26240184177542997,0.02679306481128457,0.6346824981978572,0.6752254649358372,0.18436549498977903,0.23080161401069407
E1,RandomForest,3,7979,0.11605464343902745,0.6862628190935709,0.2380407837097752,2.0511095175165184,0.09732830269565702,0.05125126593224005,1.1177171108884032,-0.11503002090310922,0.013550188281556507,0.6682224702794713,0.7044786946155854,0.21520393198935023,0.26394869395393533
E1,RandomForest,4,7917,0.11468990779335607,0.6637427461105703,0.20937408318758613,1.8255667583657702,0.09788560613851259,0.035952981494914105,0.9669801819869068,-0.15064832172961617,0.0165877981196003,0.6441824456454192,0.6805383540187004,0.18955653927580474,0.23349169846895212
