experimento,modelo,bloque,n,prevalencia,ROC_AUC,PR_AUC,lift_PR,Brier,BSS,pendiente_cal,intercepto_cal,ECE,AUC_ic_inf,AUC_ic_sup,PR_ic_inf,PR_ic_sup
E1,RandomForest,5,7894,0.12161135039270332,0.6502541822901645,0.21394659679196704,1.7592650365372788,0.1032691192505756,0.033260092537412134,0.9089341954307574,-0.09089511004537526,0.013498481703126085,0.6329584372550637,0.6694335651923123,0.1933153376741364,0.23958669015855696
E1,RandomForest,6,5946,0.11823074335687857,0.6517676213410879,0.2042573537104757,1.72761625200923,0.10154648926013986,0.025953836196104918,0.9371012218920988,-0.227943166840738,0.02493643091021037,0.6300911841503204,0.668991540791387,0.18301750143231055,0.2322903859840472
E1,RandomForest,7,7960,0.11080402010050251,0.6430754745149448,0.18953239635768282,1.7105191326611737,0.09762971558434835,0.009101853245044866,0.8747202727364465,-0.35314115680387775,0.03811367746863596,0.623484269748641,0.6619656482789487,0.1693911046617018,0.2132333711552862
E1,RandomForest,8,5952,0.11189516129032258,0.6656628251406913,0.22274587755185482,1.9906658606436034,0.09673454196148294,0.02656706342317028,1.0570415140873028,-0.3448920259204338,0.037439223017160454,0.6413980592875786,0.6854183364699877,0.19656758626155146,0.25420021323235537
E1,RandomForest,9,7935,0.10976685570258349,0.653303956738652,0.2198882755481524,2.003230156687244,0.09539242032802066,0.023799817312719962,0.9531583026151348,-0.33201842961026024,0.03519591176397499,0.6315347095135774,0.6731658372809577,0.19658134829683252,0.24997729423111004
E1,RandomForest,10,7895,0.10854971500949968,0.6968871765640963,0.22237263287648706,2.04857868910136,0.0932055760016594,0.03680087594186454,1.3183867720333338,-0.3562332433725243,0.03798472153473813,0.6799082150772118,0.7146356764501076,0.2027915304462038,0.24794888742578622
E1,XGBoost,3,7979,0.11605464343902745,0.6885052513536051,0.22227665436102143,1.9152758370913499,0.09726745360385382,0.05184441815228835,0.9492431623293817,-0.12426388479192624,0.018017173489467707,0.6697568976935707,0.7061303284633871,0.2028134447760188,0.24395474908840145
E1,XGBoost,4,7917,0.11468990779335607,0.6603522814908207,0.19922625487219814,1.737086189232591,0.09842286597268096,0.03066166480674204,0.7587504893700584,-0.1856306442360352,0.021089832897106177,0.6413889938791665,0.6776760146451276,0.1808195200179094,0.21889762063046536
E1,XGBoost,5,7894,0.12161135039270332,0.6394964276271512,0.18978384687762692,1.560576757554153,0.10462570228507115,0.020560623744119044,0.7440117342927101,-0.11527504101484207,0.015295105897341317,0.6215313296928372,0.6589669196853545,0.172781342065305,0.20736140036560638
E1,XGBoost,6,5946,0.11823074335687857,0.6597188854936028,0.1984812381120102,1.6787616526515117,0.10149736294501525,0.026425061731695343,0.7373956009214401,-0.24377581984716734,0.027143596314091776,0.6363814072593205,0.6771724571833568,0.1783043246839869,0.22193249713088412
E1,XGBoost,7,7960,0.11080402010050251,0.6393357239288293,0.16767643793717188,1.513270346915973,0.09923022216309037,-0.00714257595616874,0.6563644924065744,-0.3642002337129807,0.03909853238369053,0.6222602517119847,0.6583703356552263,0.15332432154086906,0.1841978288123078
E1,XGBoost,8,5952,0.11189516129032258,0.6486584484598108,0.18874941125005587,1.6868415852257246,0.09828885843057061,0.010926085400281726,0.7844299775963013,-0.3350440020697609,0.03544489674830949,0.625429861169074,0.6696178170863761,0.16764340194602773,0.21082997572766726
E1,XGBoost,9,7935,0.10976685570258349,0.6414313678579834,0.19198858377497577,1.7490578785929194,0.09654115548681586,0.012044213796013947,0.7606508989623093,-0.3313714222703522,0.03645875042922931,0.6212186949364408,0.6623464714735716,0.17115334839403928,0.21505319457776015
E1,XGBoost,10,7895,0.10854971500949968,0.6504426047895356,0.18048639160833546,1.662707189904094,0.095415325322459,0.013965025325541447,0.7995075029730434,-0.3060567632455074,0.032136444332216116,0.6300159813323736,0.6711978959122442,0.16328112863161828,0.19961088916213443
