,Modelo (3 categorías),No intervenir,Intervenir a todos,Modelo binario (p ≥ p*),Ahorro vs mejor referencia
"Base e=0.18 (t1=0.10, t2=0.21)",1717325.8623298034,1742800.554715078,1979096.4548663641,1724762.539586485,25474.692385274684
"e=0.12 (t1=0.10, t2=0.35)",1727052.2344931918,1742800.554715078,2083664.4881492686,1738020.3449319212,15748.320221886272
"e=0.18 (t1=0.10, t2=0.21)",1717325.8623298034,1742800.554715078,1979096.4548663641,1724762.539586485,25474.692385274684
"e=0.38 (t1=0.10, t2=0.09)",1611782.7962682804,1742800.554715078,1630536.3439233487,1526918.2289460413,18753.547655068338
"Ocupación >85% (t1=0.08, t2=0.17)",2127498.2034795764,2178500.6933938474,2336370.568582955,2134569.696167423,51002.48991427105
