dimensión,grupo,n,reingresos,evaluable,tasa_reingreso,tasa_selección_Alto,FNR,razón_FNR,razón_FNR_ic_inf,razón_FNR_ic_sup,pendiente_cal,intercepto_cal,cumple_FNR,cumple_calibración
grupo_edad,<70,10662,1073,True,0.1006377790283249,0.06893640967923466,0.7875116495806151,1.0,0.9572723030048469,1.0429068008015376,1.1945804745830684,-0.029208671125154847,True,True
grupo_edad,≥70,9168,1082,True,0.11801919720767888,0.04657504363001745,0.8964879852125693,1.1383806013409312,1.1000647878774008,1.185332025207296,1.1074911786603627,0.03584018381566205,True,True
race,AfricanAmerican,2521,270,True,0.10710035700119,0.06664022213407378,0.8074074074074075,0.9594875697615425,0.8983518619707426,1.0180663940844343,1.1512563897855879,0.00623554947086364,True,True
race,Asian,226,20,False,0.08849557522123894,0.017699115044247787,1.0,,,,,,False,False
race,Caucasian,15527,1735,True,0.11174083853931861,0.061248148386681266,0.8414985590778098,1.0,0.9716835438381861,1.028153994531305,1.1687575708512155,0.013534629491972205,True,True
race,Desconocido,571,42,False,0.07355516637478109,0.02276707530647986,0.9285714285714286,,,,,,False,False
race,Hispanic,519,42,False,0.08092485549132948,0.02119460500963391,0.8571428571428571,,,,,,False,False
race,Other,466,46,False,0.09871244635193133,0.032188841201716736,0.9130434782608695,,,,,,False,False
