bloque,variable,tipo,PSI,p_valor,significativo (Bonferroni),estado PSI
2,time_in_hospital,num,0.0007047520600233602,0.9867871313382368,False,estable
2,num_lab_procedures,num,0.012018357804836548,6.228177707561123e-09,True,estable
2,num_procedures,num,0.0021945270543111254,0.024416887072908122,False,estable
2,num_medications,num,0.006324700359147408,8.688686734340307e-05,False,estable
2,number_outpatient,num,0.0,4.880795387163368e-13,True,estable
2,number_emergency,num,0.0,0.0053609492944937396,False,estable
2,number_inpatient,num,0.03282080152382989,2.4239732263583056e-27,True,estable
2,number_diagnoses_capped,num,0.0019527055121617233,0.0908449360784731,False,estable
2,insulin,cat,0.006272754593830298,7.369883590436905e-07,True,estable
2,metformin,cat,0.0010162267628529825,0.16658229067267927,False,estable
2,rosiglitazone,cat,0.0002990206235865322,0.6840715614494648,False,estable
2,pioglitazone,cat,0.00537051018295469,9.216787278682297e-06,True,estable
2,A1Cresult,cat,0.0016128274433845667,0.04504794151748698,False,estable
2,change,cat,7.252411361525021e-06,0.8605055793027093,False,estable
2,diabetesMed,cat,0.0017253361251084007,0.0035157445650229086,False,estable
2,admission_type_grp,cat,0.018312279268927208,5.024830289429896e-20,True,estable
2,race,cat,0.003725688288754246,0.0023777598601267148,False,estable
3,time_in_hospital,num,0.004124555313025578,0.0016331599086275939,False,estable
3,num_lab_procedures,num,0.049183048294348615,2.1666376522850307e-26,True,estable
3,num_procedures,num,0.009344769420469577,0.00014465805281805606,False,estable
3,num_medications,num,0.005022209724726986,0.0018431234147956333,False,estable
3,number_outpatient,num,0.0,3.940722639907523e-32,True,estable
3,number_emergency,num,0.0,1.0983900344795403e-06,True,estable
3,number_inpatient,num,0.02022497184389972,9.574677725755658e-15,True,estable
3,number_diagnoses_capped,num,0.11675493249239743,3.2051027320209424e-22,True,vigilar
3,insulin,cat,0.00705411380745909,1.1861894662205558e-07,True,estable
3,metformin,cat,0.002501755212068198,0.00594201928033879,False,estable
3,rosiglitazone,cat,0.0013442894768419334,0.08262520626371403,False,estable
3,pioglitazone,cat,0.018438420805114254,2.8880945520561143e-19,True,estable
3,A1Cresult,cat,0.0078004346864853705,1.954042330474866e-08,True,estable
3,change,cat,2.8073074440609723e-05,0.7191352919150447,False,estable
3,diabetesMed,cat,3.330122353249168e-05,0.6955218098017896,False,estable
3,admission_type_grp,cat,0.004792523103970067,1.0533830454023256e-05,True,estable
3,race,cat,0.024017371485802554,2.791766883142512e-23,True,estable
4,time_in_hospital,num,0.015369534208937325,6.058728835445279e-14,True,estable
4,num_lab_procedures,num,0.12088986634110059,2.3070317276751372e-83,True,vigilar
4,num_procedures,num,0.013291334010293396,2.4897242880178437e-06,True,estable
4,num_medications,num,0.010896498774901961,3.644904299551694e-08,True,estable
4,number_outpatient,num,0.0,2.7401699063415935e-56,True,estable
4,number_emergency,num,0.0,6.866795143478078e-38,True,estable
4,number_inpatient,num,0.007921882547597217,2.6933136089547073e-06,True,estable
4,number_diagnoses_capped,num,0.16965840730118675,1.0797256145252715e-49,True,vigilar
4,insulin,cat,0.03894579400693215,4.13831939790273e-41,True,estable
